Label	Slice	CSA	X_cent._(_)	Y_cent._(_)	wX_cent._(_)	wY_cent._(_)	Theta_(rad)	R1_(_)	R2_(_)	Imin_(_^4)	Imax_(_^4)	Ipm_(_^4)	Zmax_(_A^3)	Zmin_(_A^3)	Zpol_(_A^3)	Feret_Min_(_)	Feret_Max_(_)	Feret_Angle_(rad)	Perimeter_(_)	Max_Thick_2D_(_)	Mean_Thick_2D_(_)	SD_Thick_2D_(_)	Cr_(rad)	M_(rad)	ICrCa(_^4)	IML(_^4)	ZCrCa(__A)	ZML(__A)	RCrCa(_)	RML(_)	DCrCa(_)	DML(_)
Aligned_pair1_d	19	0.513	0.506	0.659	0.506	0.659	-1.336	0.374	0.547	0.014	0.041	0.081	0.075	0.036	0.1	0.75	1.148	1.234	3.471	0.484	0.379	0.134	0	1.571	0.015	0.04	0.037	0.075	0.414	0.532	1.083	0.812
Aligned_pair1_d	20	0.551	0.524	0.65	0.524	0.65	-1.28	0.393	0.561	0.016	0.042	0.084	0.075	0.042	0.104	0.781	1.148	1.234	3.439	2.166	1.853	0.485	0	1.571	0.019	0.04	0.047	0.073	0.397	0.542	1.083	0.812
Aligned_pair1_d	21	0.56	0.523	0.654	0.523	0.654	-1.303	0.392	0.557	0.018	0.038	0.087	0.069	0.046	0.101	0.775	1.139	1.128	3.119	2.166	1.327	0.176	0	1.571	0.019	0.037	0.049	0.068	0.398	0.538	1.029	0.812
Aligned_pair1_d	22	0.548	0.515	0.652	0.515	0.652	-1.315	0.383	0.556	0.016	0.039	0.086	0.071	0.043	0.1	0.75	1.139	1.128	3.061	0.685	0.626	0.096	0	1.571	0.018	0.038	0.044	0.07	0.405	0.54	1.029	0.812
Aligned_pair1_d	23	0.546	0.513	0.655	0.513	0.655	-1.34	0.379	0.594	0.016	0.04	0.086	0.067	0.043	0.093	0.736	1.167	1.19	3.061	0	0	0	0	1.571	0.017	0.038	0.049	0.065	0.353	0.591	1.083	0.758
Aligned_pair1_d	24	0.569	0.517	0.67	0.517	0.67	-1.357	0.374	0.58	0.017	0.044	0.091	0.076	0.046	0.105	0.739	1.167	1.19	3.444	0	0	0	0	1.571	0.018	0.043	0.052	0.074	0.355	0.575	1.083	0.758
Aligned_pair1_d	25	0.563	0.518	0.667	0.518	0.667	-1.343	0.374	0.583	0.017	0.043	0.089	0.073	0.044	0.102	0.726	1.167	1.19	3.183	0	NaN	NaN	0	1.571	0.018	0.041	0.051	0.072	0.355	0.579	1.083	0.758
Aligned_pair1_d	26	0.548	0.513	0.669	0.513	0.669	-1.366	0.381	0.559	0.016	0.042	0.088	0.075	0.041	0.099	0.742	1.163	1.086	3.273	0.685	0.626	0.096	0	1.571	0.017	0.041	0.047	0.07	0.353	0.577	1.083	0.758
Aligned_pair1_d	27	0.557	0.515	0.665	0.515	0.665	-1.369	0.38	0.564	0.016	0.043	0.089	0.075	0.042	0.101	0.744	1.131	1.279	3.196	2.166	1.921	0.469	0	1.571	0.017	0.041	0.049	0.071	0.352	0.581	1.083	0.758
Aligned_pair1_d	28	0.56	0.52	0.655	0.52	0.655	-1.372	0.384	0.575	0.016	0.044	0.09	0.076	0.042	0.101	0.744	1.148	1.234	3.196	1.571	1.282	0.421	0	1.571	0.017	0.043	0.048	0.072	0.358	0.591	1.137	0.758
